Site,HouseID,REP#,CoreID,Depth,LU_Current,LU_Previous,Yr_Built,Lawn Age,CoarseVeg,StructDen,BD,N_Perc,C_Perc,C_N,N_gm2,C_gm2,Sand_Perc,Clay_Perc,Silt_Perc,MB Carbon,Respiration,Initial NO3 (+NO2),Initial NH4,MBN,Net N Min,Net Nitr
Hillsdale 1,,1,Hillsdale 1_1,0to10,Forest,NA,NA,,NA,NA,0.909,0.131,2.367,18.033,0,0,20.9,13.5,65.6,248.0056495,5.843,0.277,10.297,65.433,0.417,0.07
Hillsdale 2,,1,Hillsdale 2_1,0to10,Forest,NA,NA,,NA,NA,0.833,0.2,3.112,15.543,0,0,33.9,12.2,53.9,461.5742368,8.219,9.164,7.807,95.314,0.386,0.351
Leakin 1,,1,Leakin 1_1,0to10,Forest,NA,NA,,NA,NA,0.927,0.175,2.329,13.316,0,0,38.3,14,47.6,414.5008999,5.853,9.069,0.819,65.638,0.18,0.186
Leakin 2 ,,1,Leakin 2 _1,0to10,Forest,NA,NA,,NA,NA,0.688,0.11,2.549,23.143,0,0,60.5,10.5,29,797.7840349,19.719,0.266,5.645,55.82,0.57,0
Oregon Ridge Mid 1,,1,Oregon Ridge Mid 1_1,0to10,Forest,NA,NA,,NA,NA,0.494,0.249,4.705,18.872,0,0,54.3,11.7,33.9,124.1263228,3.632,0.708,12.389,118.211,0.769,0.062
Oregon Ridge Upper 1 ,,1,Oregon Ridge Upper 1 _1,0to10,Forest,NA,NA,,NA,NA,0.606,0.153,3.119,20.361,0,0,50.8,11.2,38,936.3272536,12.453,0.282,16.475,105.89,0.569,0.051
Oregon Ridge Upper 2 ,,1,Oregon Ridge Upper 2 _1,0to10,Forest,NA,NA,,NA,NA,0.692,0.196,2.857,14.582,0,0,41.5,12.1,46.3,675.4195921,2.737,0.286,3.429,107.803,0.769,0
Hillsdale 1,,2,Hillsdale 1_2,0to10,Forest,NA,NA,,NA,NA,0.874,0.171,3.108,18.128,0,0,,,,391.7104111,14.342,0.278,9.44,64.971,1.638,0.025
Hillsdale 2,,2,Hillsdale 2_2,0to10,Forest,NA,NA,,NA,NA,0.643,0.171,2.225,13.048,0,0,,,,114.5445739,1.701,13.719,1.125,69.936,0.305,0.249
Leakin 1,,2,Leakin 1_2,0to10,Forest,NA,NA,,NA,NA,0.839,0.233,3.362,14.448,0,0,,,,558.1409981,12.758,3.439,3.042,100.196,-0.391,-0.247
Leakin 2 ,,2,Leakin 2 _2,0to10,Forest,NA,NA,,NA,NA,0.603,0.193,4.028,20.831,0,0,,,,669.7389587,16.876,0.301,15.813,113.472,0.453,0
Oregon Ridge Mid 1,,2,Oregon Ridge Mid 1_2,0to10,Forest,NA,NA,,NA,NA,0.658,0.255,4.671,18.289,0,0,,,,183.5555205,2.616,1.187,11.455,160.519,1.137,0.139
Oregon Ridge Mid 2,,2,Oregon Ridge Mid 2_2,0to10,Forest,NA,NA,,NA,NA,1.012,0.083,1.22,14.688,0,0,41.7,20.3,38,254.3693165,6.422,0.963,6.017,24.223,-0.264,-0.061
Oregon Ridge Upper 1 ,,2,Oregon Ridge Upper 1 _2,0to10,Forest,NA,NA,,NA,NA,0.641,0.199,3.815,19.165,0,0,,,,946.880992,15.653,0.295,6.903,108.749,0.646,0
Oregon Ridge Upper 2 ,,2,Oregon Ridge Upper 2 _2,0to10,Forest,NA,NA,,NA,NA,0.493,0.26,4.774,18.339,0,0,,,,1034.288268,3.108,0.291,11.567,174.977,1.137,0
Oregon Ridge Mid 2,,3,Oregon Ridge Mid 2_3,0to10,Forest,NA,NA,,NA,NA,0.68,0.239,3.916,16.369,0,0,,,,187.3346173,4.573,0.379,7.508,99.119,0.607,-0.001
Hillsdale 1,,1,Hillsdale 1_1,10to30,Forest,NA,NA,,NA,NA,1.183,0.054,0.771,14.279,0,0,12.2,22.5,65.3,138.5568745,3.027,0.259,2.947,13.724,0.135,0
Hillsdale 2,,1,Hillsdale 2_1,10to30,Forest,NA,NA,,NA,NA,1.267,0.047,0.43,9.252,0,0,20.2,28.8,51,78.36901609,2.348,0.252,3.985,7.577,0.017,0
Leakin 1,,1,Leakin 1_1,10to30,Forest,NA,NA,,NA,NA,1.179,0.071,0.983,13.931,0,0,31.1,18.7,50.2,224.522995,3.253,1.433,1.535,23.277,0.042,0.085
Leakin 2 ,,1,Leakin 2 _1,10to30,Forest,NA,NA,,NA,NA,1.11,0.021,0.345,16.23,0,0,45.1,20,34.9,163.10518,3.327,0.242,2.709,8.163,0.081,0
Oregon Ridge Mid 1,,1,Oregon Ridge Mid 1_1,10to30,Forest,NA,NA,,NA,NA,0.929,0.066,0.821,12.414,0,0,46.7,20,33.3,79.99052793,2.409,0.256,2.403,13.808,-0.103,0
Oregon Ridge Upper 1 ,,1,Oregon Ridge Upper 1 _1,10to30,Forest,NA,NA,,NA,NA,1.027,0.035,0.579,16.595,0,0,48.3,20,31.7,241.4972876,5.484,0.258,1.957,7.706,-0.077,0
Oregon Ridge Upper 2 ,,1,Oregon Ridge Upper 2 _1,10to30,Forest,NA,NA,,NA,NA,1.086,0.045,0.54,11.917,0,0,32.3,29.7,38,87.81950512,2.394,0.259,2.068,6.337,-0.073,0
Hillsdale 1,,2,Hillsdale 1_2,10to30,Forest,NA,NA,,NA,NA,1.285,0.026,0.465,17.931,0,0,7.6,26.3,66.1,99.68521868,2.928,0.255,1.632,9.121,0.002,0
Hillsdale 2,,2,Hillsdale 2_2,10to30,Forest,NA,NA,,NA,NA,1.28,0.039,0.361,9.174,0,0,20.9,35,44.1,67.44776824,1.865,2.33,1.087,4.57,0.031,-0.001
Leakin 1,,2,Leakin 1_2,10to30,Forest,NA,NA,,NA,NA,1.167,0.096,1.263,13.144,0,0,33.8,19.7,46.5,148.1167594,2.22,0.572,3.375,32.406,-0.03,-0.026
Leakin 2 ,,2,Leakin 2 _2,10to30,Forest,NA,NA,,NA,NA,0.959,0.027,0.473,17.272,0,0,45,19.7,35.2,96.44339112,5.395,0.243,3.548,13.885,-0.022,0
Oregon Ridge Mid 1,,2,Oregon Ridge Mid 1_2,10to30,Forest,NA,NA,,NA,NA,1.007,0.068,0.873,12.78,0,0,34.2,26.3,39.5,71.4999273,3.245,0.26,3.384,17.962,-0.106,0
Oregon Ridge Mid 2,,2,Oregon Ridge Mid 2_2,10to30,Forest,NA,NA,,NA,NA,1.014,0.033,0.432,13.186,0,0,40.1,25,35,108.9322489,3.304,0.286,10.625,10.479,-0.385,0.036
Oregon Ridge Upper 1 ,,2,Oregon Ridge Upper 1 _2,10to30,Forest,NA,NA,,NA,NA,0.975,0.038,0.571,15.074,0,0,38.9,27.7,33.4,121.9908075,6.408,0.254,3,6.894,-0.072,0
Oregon Ridge Upper 2 ,,2,Oregon Ridge Upper 2 _2,10to30,Forest,NA,NA,,NA,NA,0.91,0.058,0.986,16.968,0,0,38.3,23.8,37.9,90.8959744,5.837,0.275,3.686,19.409,-0.155,-0.002
Oregon Ridge Mid 2,,3,Oregon Ridge Mid 2_3,10to30,Forest,NA,NA,,NA,NA,1.065,0.07,0.97,13.943,0,0,32.4,27.5,40.1,55.2830797,2.496,0.295,3.957,26.524,0.053,0
Hillsdale 1,,1,Hillsdale 1_1,30to70,Forest,NA,NA,,NA,NA,1.183,0.029,0.224,7.653,0,0,16,41.2,42.8,54.37437108,2.717,0.268,0.537,1.786,0.009,0
Hillsdale 2,,1,Hillsdale 2_1,30to70,Forest,NA,NA,,NA,NA,1.147,0.033,0.405,12.227,0,0,21.5,48.5,30,69.55873054,2.093,0.282,0.901,2.122,0.045,0
Leakin 1,,1,Leakin 1_1,30to70,Forest,NA,NA,,NA,NA,1.161,0.029,0.28,9.56,0,0,31.9,29.8,38.4,68.49350976,2.271,0.284,0.853,2.012,-0.027,0
Leakin 2 ,,1,Leakin 2 _1,30to70,Forest,NA,NA,,NA,NA,1.341,0.015,0.215,14.179,0,0,43.2,23.5,33.3,104.1592459,3.512,0.257,1.285,3.209,0.026,0
Oregon Ridge Mid 1,,1,Oregon Ridge Mid 1_1,30to70,Forest,NA,NA,,NA,NA,1.219,0.024,0.225,9.177,0,0,61.6,22.5,15.9,39.85193264,2.683,0.251,1.105,1.626,-0.079,0
Oregon Ridge Upper 1 ,,1,Oregon Ridge Upper 1 _1,30to70,Forest,NA,NA,,NA,NA,1.182,0.016,0.26,16.508,0,0,49.5,29,21.5,80.12306517,3.645,0.248,0.792,1.705,-0.015,0
Oregon Ridge Upper 2 ,,1,Oregon Ridge Upper 2 _1,30to70,Forest,NA,NA,,NA,NA,1.273,0.02,0.16,7.865,0,0,36.5,38.8,24.8,65.83362236,3.495,0.255,0.917,1.273,0.036,0
Hillsdale 1,,2,Hillsdale 1_2,30to70,Forest,NA,NA,,NA,NA,1.401,0.019,0.222,11.475,0,0,20,32.5,47.5,77.61959594,3.009,0.251,0.503,1.422,-0.023,0
Hillsdale 2,,2,Hillsdale 2_2,30to70,Forest,NA,NA,,NA,NA,1.136,0.024,0.244,9.996,0,0,23.4,40,36.6,60.5988658,1.817,3.236,0.614,3.84,0.003,-0.012
Leakin 1,,2,Leakin 1_2,30to70,Forest,NA,NA,,NA,NA,1.361,0.033,0.36,10.928,0,0,44.6,21,34.4,93.22147945,2.938,0.29,1.218,4.438,-0.085,0
Leakin 2 ,,2,Leakin 2 _2,30to70,Forest,NA,NA,,NA,NA,1.142,0,0.126,,0,0,64.5,21,14.5,106.2766391,3.19,0.244,0.879,1.016,-0.031,0
Oregon Ridge Mid 1,,2,Oregon Ridge Mid 1_2,30to70,Forest,NA,NA,,NA,NA,1.22,0.025,0.23,9.127,0,0,47.2,31.5,21.3,76.03094706,2.627,0.256,2.154,2.76,-0.07,0
Oregon Ridge Mid 2,,2,Oregon Ridge Mid 2_2,30to70,Forest,NA,NA,,NA,NA,0.95,0.017,0.106,6.307,0,0,70.3,15,14.8,72.69630923,2.327,0.277,0.554,0.92,-0.026,0
Oregon Ridge Upper 1 ,,2,Oregon Ridge Upper 1 _2,30to70,Forest,NA,NA,,NA,NA,1.176,0.013,0.179,13.693,0,0,66.5,17.5,16,137.6458528,2.65,0.256,1.795,1.105,-0.141,0
Oregon Ridge Upper 2 ,,2,Oregon Ridge Upper 2 _2,30to70,Forest,NA,NA,,NA,NA,1.422,0.021,0.202,9.766,0,0,30.6,33.8,35.7,73.96426021,4.005,0.227,1.501,1.783,-0.08,0
Oregon Ridge Mid 2,,3,Oregon Ridge Mid 2_3,30to70,Forest,NA,NA,,NA,NA,1.354,0.022,0.161,7.32,0,0,34.9,32.5,32.5,67.05315865,2.787,0.28,0.672,1.861,-0.037,0
Hillsdale 1,,1,Hillsdale 1_1,70to100,Forest,NA,NA,,NA,NA,1.007,0.016,0.2,12.868,0,0,30.3,40,29.7,102.6870095,2.842,0.281,0.954,1.433,-0.062,0
Hillsdale 2,,1,Hillsdale 2_1,70to100,Forest,NA,NA,,NA,NA,1.211,0.019,0.136,7.205,0,0,21.5,42.5,36,66.35974134,1.942,0.276,0.772,1.305,0.019,0
Leakin 1,,1,Leakin 1_1,70to100,Forest,NA,NA,,NA,NA,1.115,0.043,0.313,7.311,0,0,37.6,27.5,35,113.7699675,2.427,0.572,0.858,2.149,-0.006,0.015
Leakin 2 ,,1,Leakin 2 _1,70to100,Forest,NA,NA,,NA,NA,1.279,0,0.104,,0,0,60.8,17.3,21.9,75.66298054,2.766,0.244,0.975,1.114,-0.027,0
Oregon Ridge Mid 1,,1,Oregon Ridge Mid 1_1,70to100,Forest,NA,NA,,NA,NA,1.295,0.013,0.117,8.658,0,0,70.9,17.5,11.6,719.9726428,9.857,0.236,0.849,1.309,-0.056,0
Oregon Ridge Upper 1 ,,1,Oregon Ridge Upper 1 _1,70to100,Forest,NA,NA,,NA,NA,1.222,0,0.138,,0,0,80.8,9,10.2,82.17325853,3.416,0.256,0.665,1.677,-0.037,0
Oregon Ridge Upper 2 ,,1,Oregon Ridge Upper 2 _1,70to100,Forest,NA,NA,,NA,NA,1.336,0.012,0.09,7.429,0,0,36.5,42.5,21,84.20363044,3.433,0.255,0.867,0.8,0.063,0
Hillsdale 1,,2,Hillsdale 1_2,70to100,Forest,NA,NA,,NA,NA,1.319,0.012,0.231,19.013,0,0,46,21.3,32.8,69.85953995,3.482,0.249,0.598,1.129,-0.032,0
Hillsdale 2,,2,Hillsdale 2_2,70to100,Forest,NA,NA,,NA,NA,1.019,0.021,0.171,8.221,0,0,29,33.5,37.5,41.46897281,2.229,3.961,0.932,5.351,0.024,-0.002
Leakin 1,,2,Leakin 1_2,70to100,Forest,NA,NA,,NA,NA,1.395,0.017,0.127,7.322,0,0,44.7,21.2,34.1,77.51574883,2.345,0.288,0.288,0.566,0,0
Leakin 2 ,,2,Leakin 2 _2,70to100,Forest,NA,NA,,NA,NA,1.326,0,0.084,,0,0,53.7,16.3,30,78.76782228,3.186,0.251,0.501,0.495,-0.023,0
Oregon Ridge Mid 1,,2,Oregon Ridge Mid 1_2,70to100,Forest,NA,NA,,NA,NA,1.328,0.024,0.142,5.925,0,0,62.6,22.5,14.9,157.6368617,3.04,0.248,0.495,0.488,0.003,0
Oregon Ridge Mid 2,,2,Oregon Ridge Mid 2_2,70to100,Forest,NA,NA,,NA,NA,1.384,0.008,0.086,11.036,0,0,76.4,9.8,13.9,93.2122708,2.582,0.284,0.284,0.841,-0.001,0
Oregon Ridge Upper 1 ,,2,Oregon Ridge Upper 1 _2,70to100,Forest,NA,NA,,NA,NA,1.342,0,0.1,,0,0,61,19.8,19.2,124.5123817,3.603,0.234,1.358,1.018,-0.103,0
Oregon Ridge Upper 2 ,,2,Oregon Ridge Upper 2 _2,70to100,Forest,NA,NA,,NA,NA,1.387,0.014,0.16,11.316,0,0,45.5,27.8,26.8,58.01247015,2.663,0.244,0.683,1.211,-0.014,0
Oregon Ridge Mid 2,,3,Oregon Ridge Mid 2_3,70to100,Forest,NA,NA,,NA,NA,1.384,0.012,0.065,5.398,0,0,56.9,26.2,16.9,275.2924133,14.708,0.279,0.279,0.878,-0.001,0
House9,9,1,9.1,0to10,Residential,Ag,1989,18,2+,1,0.656,0.217,2.89,13.319,142.405,1896.687,46.335,12.509,41.156,421.47,12.411,0.716,11.835,79.112,0.105,0.098
House9,9,2,9.2,0to10,Residential,Ag,1989,18,2+,1,0.848,0.215,2.663,12.407,181.916,2257.095,,,,527.24,10.014,1.909,4.773,86.484,0.343,0.376
House9,9,1,9.1,10to30,Residential,Ag,1989,18,2+,1,1.178,0.081,0.884,10.871,191.502,2081.917,37.75,19.75,42.5,63.31,3.709,0.698,25.062,31.326,-0.243,0.124
House9,9,2,9.2,10to30,Residential,Ag,1989,18,2+,1,1.097,0.078,0.916,11.76,170.894,2009.749,37.078,22.767,40.155,124.9,1.707,0.75,1.75,12.136,0.043,0.112
House9,9,1,9.1,30to70,Residential,Ag,1989,18,2+,1,1.306,0.03,0.317,10.532,157.417,1657.967,31.5,39,29.5,78.55,2.082,0.703,11.555,8.301,-0.367,0.08
House9,9,2,9.2,30to70,Residential,Ag,1989,18,2+,1,1.282,0.029,0.279,9.781,146.492,1432.791,31.341,45.273,23.387,73.56,3.42,0.257,0.514,0.759,0.049,0
House9,9,1,9.1,70to100,Residential,Ag,1989,18,2+,1,1.268,0.025,0.202,8.018,130.539,1046.703,43.332,36.277,20.39,58.15,2.964,0.247,0.592,1.366,0.044,0
House9,9,2,9.2,70to100,Residential,Ag,1989,18,2+,1,1.225,0.01,0.074,7.691,36.791,282.975,52.536,35.224,12.241,47.97,2.638,0.244,0.244,0.822,0,0
House11,11,1,11.1,0to10,Residential,Ag,1980,27,2+,1,0.959,0.206,2.171,10.555,197.269,2082.17,40.765,15.746,43.489,493,4.374,18.084,0.848,96.24,0.633,0.395
House11,11,2,11.2,0to10,Residential,Ag,1980,27,2+,1,0.958,0.173,2.03,11.763,165.282,1944.229,,,,376.54,2.537,6.711,1.611,72.164,0.537,0.432
House11,11,1,11.1,10to30,Residential,Ag,1980,27,2+,1,1.257,0.085,0.785,9.258,213.107,1972.887,38.39,23.494,38.115,151.21,2.857,6.553,0.74,20.328,0.07,0.081
House11,11,2,11.2,10to30,Residential,Ag,1980,27,2+,1,1.047,0.047,0.508,10.864,97.903,1063.593,21.48,31.258,47.262,118.68,2.93,1.403,0.26,6.264,0.008,0.008
House11,11,1,11.1,30to70,Residential,Ag,1980,27,2+,1,1.253,0.03,0.22,7.337,149.956,1100.296,17.042,33.784,49.174,56.58,2.505,0.262,0.262,0.516,-0.001,0
House11,11,2,11.2,30to70,Residential,Ag,1980,27,2+,1,1.093,0.03,0.212,6.976,133.106,928.54,18.334,35.018,46.648,60.66,3.208,0.268,0.268,1.16,-0.001,0
House11,11,1,11.1,70to100,Residential,Ag,1980,27,2+,1,1.209,0.024,0.158,6.491,88.576,574.958,14.71,33.716,51.573,47.46,2.661,0.265,0.265,,,
House11,11,2,11.2,70to100,Residential,Ag,1980,27,2+,1,,,,,,,,,,,,,,,,
House12,12,1,12.1,0to10,Residential,Ag,1978,29,2+,1,0.872,0.224,2.432,10.833,195.657,2119.498,24.781,18.273,56.946,415.62,19.165,18.194,3.191,122.37,0.639,0.873
House12,12,2,12.2,0to10,Residential,Ag,1978,29,2+,1,1.146,0.213,2.465,11.591,243.766,2825.453,,,,412.12,9.42,23.795,0.609,120.643,0.638,0.624
House12,12,1,12.1,10to30,Residential,Ag,1978,29,2+,1,1.117,0.059,0.53,8.997,131.735,1185.224,18.959,34.767,46.273,213.46,3.339,2.856,2.025,10.129,0,0.161
House12,12,2,12.2,10to30,Residential,Ag,1978,29,2+,1,1.308,0.069,0.631,9.196,179.419,1649.941,18.23,32.508,49.262,272.65,4.327,8.408,0.731,19.302,0.095,0.138
House12,12,1,12.1,30to70,Residential,Ag,1978,29,2+,1,1.34,0.025,0.133,5.26,135.148,710.912,28.929,35.035,36.036,121.27,3.528,0.26,1.613,0.511,-0.124,0
House12,12,2,12.2,30to70,Residential,Ag,1978,29,2+,1,1.264,0.031,0.224,7.215,157.091,1133.439,24.944,36.277,38.779,107.56,3.342,4.817,0.524,5.761,0.023,0.047
House12,12,1,12.1,70to100,Residential,Ag,1978,29,2+,1,1.33,0.02,0.096,4.844,79.492,385.079,35.686,40.04,24.274,80.16,2.913,0.269,0.269,0.951,0.028,0
House12,12,2,12.2,70to100,Residential,Ag,1978,29,2+,1,1.122,0.025,0.197,7.984,82.917,662.018,32.324,38.779,28.897,109.82,4.395,4.246,0.743,5.527,0.027,0.046
House13,13,1,13.1,0to10,Residential,Ag,2002,5,2+,1,0.984,0.194,2.006,10.343,190.773,1973.169,36.907,18.741,44.353,74.69,5.065,9.885,6.206,77.032,0.48,0.642
House13,13,2,13.2,0to10,Residential,Ag,2002,5,2+,1,0.899,0.205,2.339,11.432,183.846,2101.649,,,,451.29,12.544,7.776,3.656,83.851,1.561,1.032
House13,13,1,13.1,10to30,Residential,Ag,2002,5,2+,1,1.151,0.073,0.659,9.038,167.904,1517.511,46.25,18.75,35,71.81,3.284,7.326,3.738,24.249,0.153,0.336
House13,13,2,13.2,10to30,Residential,Ag,2002,5,2+,1,1.124,0.082,0.725,8.838,184.452,1630.099,36.407,25.987,37.606,135.68,3.241,5.317,24.501,44.534,0.233,0.808
House13,13,1,13.1,30to70,Residential,Ag,2002,5,2+,1,0.831,0.019,0.224,11.556,64.405,744.251,71.729,7.255,21.016,72.33,1.969,1.222,0.684,1.929,0.007,-0.001
House13,13,2,13.2,30to70,Residential,Ag,2002,5,2+,1,1.154,0.014,0.116,8.322,64.18,534.125,70.632,7.248,22.119,85.62,2.858,0.243,0.583,0.819,-0.031,0
House13,13,1,13.1,70to100,Residential,Ag,2002,5,2+,1,1,0,0.081,,0,745.134,69.538,7.241,23.221,74.62,2.551,0.246,2.212,1.015,-0.082,0
House13,13,2,13.2,70to100,Residential,Ag,2002,5,2+,1,1,0,0.094,,0,282.023,66.409,8.492,25.1,64.48,2.804,0.263,0.263,0.514,0.023,0
House20,20,1,20.1,0to10,Residential,Ag,1963,44,2+,2+,1.123,0.052,0.479,9.221,58.373,538.261,40.875,27.75,31.375,120.05,5.082,0.775,0.878,3.812,-0.028,0.035
House20,20,2,20.2,0to10,Residential,Ag,1963,44,2+,2+,0.946,0.169,2.022,11.991,159.505,1912.581,,,,565.43,11.452,5.432,1.098,42.986,0.398,0.479
House20,20,1,20.1,10to30,Residential,Ag,1963,44,2+,2+,1.269,0.136,1.452,10.686,344.739,3684.012,42.25,24,33.75,380.69,15.215,2.447,1.064,34.069,0.686,0.65
House20,20,2,20.2,10to30,Residential,Ag,1963,44,2+,2+,1.247,0.038,0.3,7.833,95.553,748.458,41.5,29.75,28.75,163.14,3.692,0.905,0.251,3.343,0.014,0.015
House20,20,1,20.1,30to70,Residential,Ag,1963,44,2+,2+,1.337,0.039,0.358,9.253,206.968,1915.158,45.195,25.025,29.78,110.23,3.543,0.251,0.502,1.917,0.107,0.024
House20,20,2,20.2,30to70,Residential,Ag,1963,44,2+,2+,1.306,0.04,0.358,8.912,210.099,1872.367,53.488,22.256,24.256,146.95,3.214,0.487,0.243,2.085,0.029,0.029
House20,20,1,20.1,70to100,Residential,Ag,1963,44,2+,2+,1.247,0.013,0.098,7.351,49.692,365.31,56.864,17.254,25.881,103.82,3.602,0.242,0.242,1.044,0.029,0
House20,20,2,20.2,70to100,Residential,Ag,1963,44,2+,2+,1.291,0,0.07,,0,270.926,67.1,14.761,18.139,84.7,3.241,0.242,0.242,0.853,-0.001,0
House21,21,1,21.1,0to10,Residential,Ag,1998,9,2+,1,0.879,0.171,1.692,9.877,150.498,1486.529,44.472,19.01,36.518,661.88,2.831,44.469,34.928,174.688,2.24,4.907
House21,21,2,21.2,0to10,Residential,Ag,1998,9,2+,1,0.82,0.146,1.557,10.676,119.602,1276.917,,,,572.47,18.019,9.442,2.996,80.899,0.689,0.881
House21,21,1,21.1,10to30,Residential,Ag,1998,9,2+,1,1.223,0.055,0.505,9.23,133.899,1235.883,41.544,25.231,33.225,290,5.782,4.643,0.516,15.999,0.121,0.145
House21,21,2,21.2,10to30,Residential,Ag,1998,9,2+,1,1.161,0.061,0.565,9.289,141.182,1311.37,44.639,23.744,31.617,226.04,4.786,2.821,1.149,9.52,0.038,0.086
House21,21,1,21.1,30to70,Residential,Ag,1998,9,2+,1,1.2,0.014,0.143,10.045,68.251,685.572,57.457,11.261,31.281,132.74,7.582,0.666,0.564,0.509,-0.065,-0.037
House21,21,2,21.2,30to70,Residential,Ag,1998,9,2+,1,1.183,0.016,0.113,7.106,75.401,535.792,57.071,11.014,31.915,97.33,1.248,0.613,0.255,0.75,0.049,0.013
