Site,HouseID,REP#,CoreID,Depth,LU_Current,LU_Previous,Yr_Built,Lawn Age,CoarseVeg,StructDen,BD,N_Perc,C_Perc,C_N,N_gm2,C_gm2,Sand_Perc,Clay_Perc,Silt_Perc,MB Carbon,Respiration,Initial NO3 (+NO2),Initial NH4,MBN,Net N Min,Net Nitr
House10,10,3,10.3,70to100,Residential,Forest,1989,18,4+,2+,1.414,0.018,0.134,7.34,77.544,569.136,16.375,34.75,48.875,87.22,3.754,0.764,1.691,1.832,-0.11,-0.006
House14,14,1,14.1,0to10,Residential,Forest,1987,20,4+,2+,1.072,0.085,1.224,14.352,91.414,1311.991,40.08,22.767,37.153,80.9,17.775,8.857,1.677,38.646,0.626,0.684
House14,14,2,14.2,0to10,Residential,Forest,1987,20,4+,2+,1.048,0.14,2.123,15.216,146.153,2223.863,,,,511.88,5.468,14.972,7.401,62.629,0.531,1.143
House14,14,1,14.1,10to30,Residential,Forest,1987,20,4+,2+,1.091,0.117,1.565,13.417,254.515,3414.857,35.093,19.01,45.898,230.5,6.048,6.482,7.152,29.724,0.128,0.638
House14,14,2,14.2,10to30,Residential,Forest,1987,20,4+,2+,1.169,0.101,1.266,12.548,235.813,2958.918,37.578,18.764,43.658,147.28,3.518,6.058,5.215,32.192,0.112,0.458
House14,14,1,14.1,30to70,Residential,Forest,1987,20,4+,2+,1.239,0.047,0.514,10.979,231.959,2546.621,21.395,31.492,47.113,77.24,4.416,8.812,1.827,12.12,-0.06,0.029
House14,14,2,14.2,30to70,Residential,Forest,1987,20,4+,2+,1.234,0.046,0.565,12.414,224.765,2790.303,20.225,33.458,46.317,154.17,2.736,6.883,9.825,19.56,0.141,0.086
House14,14,1,14.1,70to100,Residential,Forest,1987,20,4+,2+,1.295,0.025,0.208,8.36,96.538,807.053,18.814,35.276,45.909,148.02,2.613,7.373,5.072,11.796,-0.035,-0.021
House14,14,2,14.2,70to100,Residential,Forest,1987,20,4+,2+,1.375,0.022,0.188,8.662,89.263,773.195,19.48,36.259,44.261,85.83,4.513,8.933,0.723,9.445,0.375,0.08
House15,15,1,15.1,0to10,Residential,Forest,1969,38,2+,2+,0.67,0.28,3.225,11.527,187.453,2160.853,42.793,18.736,38.471,221.58,21.695,19.536,1.918,124.801,1.498,1.464
House15,15,2,15.2,0to10,Residential,Forest,1969,38,2+,2+,0.938,0.199,2.535,12.756,186.436,2378.265,,,,93.67,9.381,9.541,0.686,46.404,0.751,0.7
House15,15,2,15.2,10to30,Residential,Forest,1969,38,2+,2+,0.896,0.134,0,,240.117,0,28,26.25,45.75,166.69,2.811,0.265,1.699,4.982,0.076,0.096
House15,15,3,15.3,10to30,Residential,Forest,1969,38,2+,2+,1.108,0.08,1.151,14.434,176.739,2551.091,37.938,23.774,38.288,65.49,5.58,1.549,1.601,4.175,0.474,-0.036
House15,15,2,15.2,30to70,Residential,Forest,1969,38,2+,2+,1.159,0.041,0.372,9.01,191.594,1726.244,16.042,34.983,48.976,68.55,3.029,0.53,2.173,4.288,0.02,0.016
House15,15,3,15.3,30to70,Residential,Forest,1969,38,2+,2+,1.279,0.047,0.442,9.467,238.752,2260.345,17.062,33.725,49.213,95.36,3.238,0.837,0.68,2.06,0.057,0.041
House15,15,2,15.2,70to100,Residential,Forest,1969,38,2+,2+,1.386,0.022,0.128,5.83,91.411,532.904,33.467,23.762,42.771,87.58,2.719,0.253,0.253,1.153,0,0
House15,15,3,15.3,70to100,Residential,Forest,1969,38,2+,2+,1.486,0.025,0.161,6.479,110.57,716.333,20.684,31.227,48.089,68.88,3.534,0.258,0.517,1.343,0.099,0
House16,16,1,16.1,0to10,Residential,Forest,1963,44,4+,2+,0.802,0.2,3.163,15.788,160.753,2537.973,39.92,15.988,44.092,244.09,15.306,13.571,0.798,84.829,1.297,1.277
House16,16,2,16.2,0to10,Residential,Forest,1963,44,4+,2+,0.807,0.259,3.042,11.754,208.845,2454.751,,,,250.82,12.214,20.824,0.835,33.281,9.419,-0.385
House16,16,1,16.1,10to30,Residential,Forest,1963,44,4+,2+,0.923,0.042,0.459,11.02,76.84,846.807,59.219,16.262,24.518,145.47,4.371,2.819,19.186,30.601,0.191,0.408
House16,16,2,16.2,10to30,Residential,Forest,1963,44,4+,2+,0.978,0.035,0.393,11.381,67.578,769.076,65.267,11.244,23.488,161.67,3.647,2.049,0.683,12.253,0.047,0.091
House16,16,1,16.1,30to70,Residential,Forest,1963,44,4+,2+,1.028,0,0.057,,0,233.27,79.115,6.253,14.632,112.68,3.584,1.056,0.48,1.866,-0.001,-0.001
House16,16,2,16.2,30to70,Residential,Forest,1963,44,4+,2+,1.119,0,0.059,,0,265.42,82.482,5.005,12.513,80.11,3.484,0.953,0.667,2.021,0.003,0.013
House16,16,1,16.1,70to100,Residential,Forest,1963,44,4+,2+,1.097,0,0.038,,0,125.479,88.827,5.321,5.853,104.05,4.218,0.229,0.687,1.226,0.014,0
House16,16,2,16.2,70to100,Residential,Forest,1963,44,4+,2+,0.978,0,0.039,,0,113.37,86.5,2.5,11,86.88,3.502,1.23,0.228,1.606,-0.024,-0.024
House17,17,1,17.1,0to10,Residential,Forest,1960,47,4+,2+,0.795,0.169,2.047,12.096,134.541,1627.404,46.947,11.261,41.792,647.04,5.413,6.087,1.217,64.901,0.562,0.574
House17,17,2,17.2,0to10,Residential,Forest,1960,47,4+,2+,0.701,0.264,3.301,12.498,185.18,2314.306,,,,527.28,11.958,3.356,1.62,82.312,0.853,0.727
House17,17,1,17.1,10to30,Residential,Forest,1960,47,4+,2+,0.923,0.104,1.254,12.063,192.049,2316.641,43.139,11.997,44.864,176.06,4.479,1.014,1.281,8.474,0.022,0.091
House17,17,2,17.2,10to30,Residential,Forest,1960,47,4+,2+,0.988,0.079,0.948,12.059,155.262,1872.292,47.085,18.764,34.151,97.15,6.05,0.261,2.037,15.513,0.376,0.026
House17,17,1,17.1,30to70,Residential,Forest,1960,47,4+,2+,1.076,0.036,0.311,8.539,156.871,1339.598,52.101,17.259,30.64,95.79,3.147,0.616,1.592,2.99,0.009,0.036
House17,17,2,17.2,30to70,Residential,Forest,1960,47,4+,2+,1.074,0.037,0.412,11.274,156.929,1769.22,53.34,17.263,29.397,127.57,4.057,0.254,3.656,7.67,0.068,0
House17,17,1,17.1,70to100,Residential,Forest,1960,47,4+,2+,1.067,0.016,0.163,9.944,52.53,522.35,63.991,10.003,26.007,82.91,3.153,0.249,0.697,0.79,-0.045,0
House17,17,2,17.2,70to100,Residential,Forest,1960,47,4+,2+,,,,,,,,,,,,,,,,
House18,18,2,18.2,0to10,Residential,Forest,1959,48,4+,2+,0.528,0.247,3.441,13.947,130.202,1815.961,,,,447.51,13.064,39.937,18.451,134.133,1.605,2.536
House18,18,3,18.3,0to10,Residential,Forest,1959,48,4+,2+,0.735,0.26,3.358,12.903,191.389,2469.394,46.223,13.507,40.27,377.36,13.612,13.089,11.65,90.662,1.459,1.987
House18,18,1,18.1,10to30,Residential,Forest,1959,48,4+,2+,0.912,0.031,0.536,17.245,56.66,977.077,67.649,9.993,22.358,122.88,5.844,0.255,0.255,8.76,0.077,0.05
House18,18,2,18.2,10to30,Residential,Forest,1959,48,4+,2+,1.019,0.033,0.788,23.991,66.993,1607.204,66.133,11.247,22.619,116.07,3.959,3.024,0.756,10.055,0.1,0.083
House18,18,2,18.2,30to70,Residential,Forest,1959,48,4+,2+,,,,,,,,,,,,,,,,
House18,18,3,18.3,30to70,Residential,Forest,1959,48,4+,2+,1.718,0.037,0.497,13.263,257.297,3412.478,54.977,17.509,27.514,100.65,3.196,0.251,0.553,1.699,-0.005,0.023
House18,18,2,18.2,70to100,Residential,Forest,1959,48,4+,2+,,,,,,,,,,,,,,,,
House18,18,3,18.3,70to100,Residential,Forest,1959,48,4+,2+,0.826,0.015,0.109,7.346,36.75,269.973,58.854,16.258,24.887,52.7,3.004,0.26,0.26,1.485,-0.001,0
House19,19,1,19.1,0to10,Residential,Forest,1964,43,4+,2+,0.694,0.306,3.744,12.219,212.53,2596.91,,,,83.39,13.641,35.327,1.736,121.171,0.904,0.954
House19,19,2,19.2,0to10,Residential,Forest,1964,43,4+,2+,0.872,0.194,2.504,12.879,169.558,2183.794,,,,335.16,8.101,31.84,1.823,92.466,0.91,0.277
House19,19,3,19.3,0to10,Residential,Forest,1964,43,4+,2+,0.595,0.333,3.913,11.767,197.903,2328.691,46.862,11.253,41.885,339.77,9.043,34.842,10.319,105.46,1.828,1.99
House19,19,1,19.1,10to30,Residential,Forest,1964,43,4+,2+,1.117,0.033,0.603,18.464,72.907,1346.18,63.964,2.002,34.034,70.35,4.364,3.438,0.253,10.937,0.526,0.064
House19,19,2,19.2,10to30,Residential,Forest,1964,43,4+,2+,0.944,0.094,1.18,12.595,167.137,2105.151,45.014,18.745,36.241,196.43,4.524,7.062,1.358,20.361,0.033,0.132
House19,19,3,19.3,10to30,Residential,Forest,1964,43,4+,2+,0.892,0.108,1.183,10.918,204.653,2234.487,44.028,14.743,41.229,195.37,3.704,12.301,8.723,36.734,0.156,0.375
House19,19,1,19.1,30to70,Residential,Forest,1964,43,4+,2+,1.292,0.023,0.222,9.755,117.423,1145.425,59.031,8.244,32.725,70.98,2.467,0.251,0.251,0.992,0.135,0
House19,19,2,19.2,30to70,Residential,Forest,1964,43,4+,2+,1.195,0.026,0.257,10.091,121.929,1230.431,54.534,19.735,25.731,89.5,2.593,1.622,1.774,2.588,-0.059,0.043
House19,19,3,19.3,30to70,Residential,Forest,1964,43,4+,2+,1.042,0.038,0.334,8.86,157.416,1394.748,50.012,24.994,24.994,94.21,2.161,5.576,2.814,12.223,-0.006,0.038
House19,19,1,19.1,70to100,Residential,Forest,1964,43,4+,2+,1.216,0,0.068,,0,248.018,67.351,11.509,21.141,56.48,2.416,0.248,0.248,0.493,0.144,0
House19,19,2,19.2,70to100,Residential,Forest,1964,43,4+,2+,1.221,0,0.107,,0,391.917,65.733,16.008,18.259,81.22,2.853,3.206,0.718,2.461,-0.073,-0.029
House19,19,3,19.3,70to100,Residential,Forest,1964,43,4+,2+,1.135,0.018,0.149,8.213,61.619,506.045,68.258,15.996,15.746,90.04,2.673,7.853,0.557,9.295,-0.041,-0.013
House23,23,1,23.1,0to10,Residential,Forest,1967,40,2+,2+,1.046,0.133,1.351,10.156,139.176,1413.442,34.543,28.786,36.671,299.05,4.372,4.294,0.859,38.247,0.58,0.591
House23,23,2,23.2,0to10,Residential,Forest,1967,40,2+,2+,0.982,0.143,1.511,10.538,140.781,1483.609,,,,110.4,4.5,6.376,2.84,52.078,0.686,0.808
House23,23,1,23.1,10to30,Residential,Forest,1967,40,2+,2+,1.22,0.048,0.558,11.55,117.765,1360.177,38.235,31.258,30.508,136.45,3.66,1.668,0.261,5.146,0.058,0.058
House23,23,2,23.2,10to30,Residential,Forest,1967,40,2+,2+,1.231,0.053,0.538,10.217,129.598,1324.063,27,36.5,36.5,126.03,3.713,1.191,0.57,4.169,0.016,0.047
House23,23,1,23.1,30to70,Residential,Forest,1967,40,2+,2+,1.145,0.023,0.234,10.051,106.809,1073.49,61.981,12.256,25.763,80.23,3.839,1.605,0.251,2.485,-0.015,-0.015
House23,23,2,23.2,30to70,Residential,Forest,1967,40,2+,2+,1.197,0.028,0.256,9.073,135.026,1225.069,51.363,17.754,30.883,72,3.485,1.18,0.246,2.179,0.039,0.005
House23,23,1,23.1,70to100,Residential,Forest,1967,40,2+,2+,,,,,,,,,,,,,,,,
House23,23,2,23.2,70to100,Residential,Forest,1967,40,2+,2+,1.045,0.012,0.106,9.004,36.782,331.202,48.564,8.739,42.697,71.81,3.125,1.739,0.264,2.692,0.014,-0.012
House24,24,1,24.1,0to10,Residential,Forest,1967,40,2+,2+,0.891,0.263,2.656,10.096,234.302,2365.501,46.875,21.25,31.875,154.59,13.773,12.376,4.437,89.941,0.489,0.839
House24,24,2,24.2,0to10,Residential,Forest,1967,40,2+,2+,0.812,0.204,2.058,10.066,165.923,1670.251,,,,191.04,10.615,7.693,1.167,55.796,0.472,0.494
House24,24,1,24.1,10to30,Residential,Forest,1967,40,2+,2+,1.088,0.041,0.381,9.319,88.895,828.382,40.684,36.214,23.102,103.73,3.36,1.488,0.744,4.377,0.054,0.048
House24,24,2,24.2,10to30,Residential,Forest,1967,40,2+,2+,1.105,0.044,0.435,9.957,96.572,961.563,40.08,42.532,17.388,139.65,3.584,2.076,0.692,7.332,0.056,0.057
House24,24,1,24.1,30to70,Residential,Forest,1967,40,2+,2+,1.069,0.02,0.118,5.982,84.433,505.055,58.771,17.491,23.738,62.18,2.291,17.775,0.273,21.7,0.085,0.085
House24,24,2,24.2,30to70,Residential,Forest,1967,40,2+,2+,1.136,0.015,0.098,6.615,67.028,443.388,52.726,28.764,18.509,63.99,2.187,8.953,0.201,10.961,0.086,0.053
House24,24,1,24.1,70to100,Residential,Forest,1967,40,2+,2+,1.043,0.012,0.078,6.365,38.234,243.358,85.265,2.498,12.238,76.57,2.768,6.007,0.266,8.035,0.044,0.044
House24,24,2,24.2,70to100,Residential,Forest,1967,40,2+,2+,1.23,0,0.018,,0,67.514,61.414,12.488,26.099,56.83,2.295,4.84,0.23,5.53,-0.031,-0.031
House25,25,1,25.1,0to10,Residential,Forest,1948,59,4+,1,0.957,0.19,2.221,11.666,182.094,2124.31,33.75,26.25,40,110.18,3.891,3.722,0.709,1.743,5.051,-0.312
House25,25,2,25.2,0to10,Residential,Forest,1948,59,4+,1,0.868,0.22,2.751,12.522,190.771,2388.87,,,,99.8,3.751,3.517,0.75,66.972,0.121,0.127
House25,25,1,25.1,10to30,Residential,Forest,1948,59,4+,1,1.274,0.04,0.627,15.518,102.944,1597.46,40.03,19.74,40.23,81.94,2.88,0.618,0.875,11.673,-0.09,-0.033
House25,25,2,25.2,10to30,Residential,Forest,1948,59,4+,1,1.268,0.044,0.502,11.487,110.912,1274.044,38.125,23.75,38.125,60,2.438,0.256,0.256,6.8,0,0
House25,25,1,25.1,30to70,Residential,Forest,1948,59,4+,1,1.442,0.024,0.215,9.087,136.759,1242.793,36.234,25.006,38.76,72.35,2.653,0.254,0.254,1.634,-0.001,0
House25,25,2,25.2,30to70,Residential,Forest,1948,59,4+,1,1.563,0.021,0.167,7.973,131.354,1047.227,40.515,25.994,33.492,64.55,2.696,0.243,0.243,1.061,0,0
House25,25,1,25.1,70to100,Residential,Forest,1948,59,4+,1,1.466,0.027,0.214,8.048,116.667,938.912,23.067,36.277,40.655,315.3,9.116,0.26,0.729,1.278,-0.043,0
House25,25,2,25.2,70to100,Residential,Forest,1948,59,4+,1,1.456,0.02,0.168,8.391,87.424,733.614,29.232,34.759,36.009,66.76,4.047,0.256,0.665,1.113,-0.038,0
House27,27,1,27.1,0to10,Residential,Forest,1969,38,2+,2+,0.787,0.127,1.653,13.024,99.955,1301.794,32.392,29.743,37.866,482.36,8.819,2.846,1.396,45.939,0.167,0.216
House27,27,2,27.2,0to10,Residential,Forest,1969,38,2+,2+,1.002,0.149,1.874,12.586,149.161,1877.302,,,,540.9,9.588,5.259,1.119,64.92,0.349,0.433
House27,27,1,27.1,10to30,Residential,Forest,1969,38,2+,2+,1.244,0.041,0.479,11.631,102.406,1191.074,32.307,33.534,34.159,86.22,3.769,0.643,0.841,5.528,0.083,0.049
House27,27,2,27.2,10to30,Residential,Forest,1969,38,2+,2+,1.135,0.036,0.394,11.082,80.707,894.421,24.587,42.521,32.891,164.47,4.585,0.811,5.423,32.794,0.012,0.09
House27,27,1,27.1,30to70,Residential,Forest,1969,38,2+,2+,1.186,0.026,0.199,7.782,121.307,944.008,28.589,50.936,20.474,69.88,3,0.275,0.716,1.962,0.028,0
House27,27,2,27.2,30to70,Residential,Forest,1969,38,2+,2+,1.155,,,,,,26.195,54.041,19.765,86.15,4.145,0.275,1.539,1.997,-0.084,-0.001
House27,27,1,27.1,70to100,Residential,Forest,1969,38,2+,2+,1.292,0.015,0.144,9.601,58.321,559.92,45.736,34.009,20.255,73.79,2.878,0.264,0.264,1.419,0.043,0
House27,27,2,27.2,70to100,Residential,Forest,1969,38,2+,2+,1.218,0.018,0.175,9.788,65.392,640.076,37.672,35.044,27.284,93.97,4.493,0.268,1.288,1.586,-0.066,0
House28,28,1,28.1,0to10,Residential,Forest,1968,39,2+,2+,1.061,0.185,2.333,12.578,196.746,2474.656,31.142,22.494,46.363,382.43,5.703,12.964,1.229,43.067,0.616,0.566
House28,28,2,28.2,0to10,Residential,Forest,1968,39,2+,2+,0.98,0.276,3.499,12.665,270.729,3428.712,,,,534.09,4.046,8.589,0.588,59.7,0.536,0.525
House28,28,1,28.1,10to30,Residential,Forest,1968,39,2+,2+,1.192,0.082,0.954,11.627,195.484,2272.949,26.927,27.277,45.796,144.51,3.968,8.117,2.158,17.301,-0.055,0.007
House28,28,2,28.2,10to30,Residential,Forest,1968,39,2+,2+,1.314,0.093,1.15,12.403,243.603,3021.404,22.308,29.728,47.964,139.33,4.427,4.16,3.03,16.6,0.397,0.366
House28,28,1,28.1,30to70,Residential,Forest,1968,39,2+,2+,1.362,0.028,0.286,10.18,152.884,1556.34,31.392,36.241,32.367,64.12,2.77,1.623,0.609,2.658,0.051,0.026
House28,28,2,28.2,30to70,Residential,Forest,1968,39,2+,2+,1.301,0.024,0.201,8.496,123.232,1047.007,34.484,33.508,32.008,66.97,2.721,0.548,1.743,2.69,0.053,0
House28,28,1,28.1,70to100,Residential,Forest,1968,39,2+,2+,1.308,0.015,0.085,5.725,57.956,331.771,39.03,40.98,19.99,49.93,2.556,0.865,0.254,2.123,0.031,-0.005
House28,28,2,28.2,70to100,Residential,Forest,1968,39,2+,2+,1.359,0.016,0.1,6.186,66.014,408.388,36.703,38.529,24.769,65.6,2.8,0.248,0.497,0.988,0.03,0
House29,29,1,29.1,0to10,Residential,Forest,1968,39,2+,2+,0.95,0.208,2.184,10.486,197.78,2074.018,52.512,16.246,31.242,810.94,8.452,12.271,0.774,75.458,1.176,1.166
House29,29,2,29.2,0to10,Residential,Forest,1968,39,2+,2+,0.992,0.204,2.141,10.497,202.395,2124.504,,,,739.57,14.736,13.85,0.701,72.439,0.641,0.653
House29,29,1,29.1,10to30,Residential,Forest,1968,39,2+,2+,1.348,0.057,0.711,12.44,154.103,1916.978,59.051,18.976,21.973,263.22,2.739,7.505,8.205,24.083,0.153,0.949
House29,29,2,29.2,10to30,Residential,Forest,1968,39,2+,2+,1.221,0.076,1.396,18.243,186.777,3407.365,44.07,24.969,30.961,194.24,6.724,5.36,7.708,16.498,-0.018,0.516
House29,29,1,29.1,30to70,Residential,Forest,1968,39,2+,2+,1.117,0.054,1.789,33.031,241.896,7989.99,41.802,31.539,26.658,173.87,7.006,2.467,0.257,5.38,-0.025,-0.025
House29,29,2,29.2,30to70,Residential,Forest,1968,39,2+,2+,1.264,0.045,0.706,15.864,225.065,3570.495,48.962,24.018,27.02,194.01,6.381,2.132,0.992,7.242,-0.016,0.058
House29,29,1,29.1,70to100,Residential,Forest,1968,39,2+,2+,1.213,0.078,1.462,18.815,282.708,5319.078,48.323,23.774,27.903,220.9,5.935,1.219,2.896,7.098,0.148,0.201
House29,29,2,29.2,70to100,Residential,Forest,1968,39,2+,2+,1.259,0.076,0.921,12.121,286.888,3477.303,57.136,17.746,25.119,283.7,11.755,9.729,1.905,22.393,0.045,0.209
House30,30,1,30.1,0to10,Residential,Forest,1952,55,4+,1,1.026,0.161,2.304,14.348,164.77,2364.2,38.344,22.261,39.395,,,,,,,
House30,30,2,30.2,0to10,Residential,Forest,1952,55,4+,1,1.026,0.174,2.882,16.521,179.004,2957.277,38.344,22.261,39.395,317.42,11.045,12.835,0.983,38.105,-0.592,-0.575
House30,30,1,30.1,10to30,Residential,Forest,1952,55,4+,1,1.245,0.104,1.606,15.474,258.442,3999.11,35.795,25.031,39.174,,,,,,,
House30,30,2,30.2,10to30,Residential,Forest,1952,55,4+,1,1.245,0.071,1.967,27.698,176.83,4897.833,28.375,28.75,42.875,155.68,4.005,8.548,1.002,13.376,0.306,0.374
House30,30,1,30.1,30to70,Residential,Forest,1952,55,4+,1,1.297,0.04,0.532,13.465,204.868,2758.625,37.719,25.013,37.269,88.59,3.17,1.142,0.571,1.641,-0.029,-0.001
House30,30,2,30.2,30to70,Residential,Forest,1952,55,4+,1,1.42,0.035,0.427,12.067,201.191,2427.722,33.875,29.5,36.625,113.83,2.449,1.64,0.264,2.428,0.017,0.017
House30,30,1,30.1,70to100,Residential,Forest,1952,55,4+,1,1.662,0.047,0.579,12.201,236.756,2888.764,32.324,20.766,46.91,149.03,3.608,1.084,0.568,2.464,0.005,0.033
House30,30,2,30.2,70to100,Residential,Forest,1952,55,4+,1,0.935,0.049,0.585,11.872,138.267,1641.546,33.342,21.261,45.398,94.6,2.716,1.356,0.261,1.176,0.074,0.074
